Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-07-29,VERX,16.8719,5.0793,0.9143,,0.991417,1.3792,-2.335764,-1.753371,,0.558574,-3.2682,7.2457,-0.032749,-0.279604,-0.210687,-0.350075,0.007593,4272837350,United States of America,1100.0,FALSE,7372,25.56,13.5,
2020-07-24,GRCY,,,0.0007,-1.044264,0.135931,,-101.487077,,,,0.0008,1.1259,,,-162.21635,-0.464717,0.0,84330192,China,4.0,True,6770,9.7582,1.0,
2020-07-23,MEG,6.6859,4.313,0.7025,-0.950409,0.377861,1.2037,-1.502877,-0.617376,-15.6704,0.343499,1.4406,8.4306,0.242668,-0.070104,-0.176543,-0.422538,0.152872,1124055619,United States of America,1730.0,FALSE,8742,16.5,45.03,
2020-07-17,RNLX,0.4309,4.8646,0.03,,1.0,9.4578,,,,0.424547,-0.9917,1.1383,-0.287559,-21.405768,-23.699531,-0.49448,0.0,459372072,United Kingdom,14.0,FALSE,8071,13.9,13.52,
2020-07-10,NKTX,,,,-7.138196,1.0,36.1041,-3.559247,,,,,1.0858,-0.314321,,,-0.284419,0.0,1700799991,United States of America,70.0,FALSE,2834,54.75,10.63,
2020-06-26,FUSN,,,,,1.0,19.243,-3.582744,,,,,1.0749,-0.283306,,,-0.265975,0.0,191774876.8,Canada,40.0,FALSE,2836,18.5,7.87,
2020-06-26,PYPD,,,,-1.656105,1.0,16.406,-5.018295,-0.824958,,,,1.1984,-1.187265,,,-0.506602,0.0,68036809.5,Israel,58.0,FALSE,3841,16.0,4.76,
2020-06-19,PROG,6.5772,5.1565,0.5802,,-2.060192,1.7385,-0.586854,,-18.4971,-0.25729,-0.8031,-1.3421,19.291251,-2.626566,-2.590771,1.799428,0.0,387345233.2,United States of America,674.0,FALSE,8071,15.11,1.54,
2020-06-16,RPRX,,,0.1491,0.024484,0.306686,8.7594,-0.345454,1.033221,1.9376,1.0,0.1708,1.7753,-0.024159,0.751712,0.801918,0.353192,0.0,26705008971,United States of America,5.0,FALSE,2834,42.96969696,39.13,
2020-06-12,PCVX,,,,,1.0,8.3012,-0.765535,0.166709,-3912.6714,,,1.1469,-0.1191,,,-0.25797,0.0,977575341.7,United States of America,43.0,FALSE,2836,20.8,17.91,
2020-06-05,FOUR,9.9259,8.9539,0.5984,-0.203569,0.274175,10.3974,-0.484177,0.781467,-2.5004,0.231842,1.0993,3.769,0.19877,-0.075108,-0.14526,-0.242385,0.000537,6362572977,United States of America,0.0,FALSE,7389,33.1,46.61,
2020-06-05,LEGN,0.0493,1.4419,0.15,,0.007941,3.4028,-2.01879,-6.555482,,0.939809,-0.4066,21462.1702,1.547427,-11.165958,-4.010215,,0.0,7038532809,United States of America,645.0,FALSE,2834,37.0,38.12,
2020-06-03,PLRX,,5.1212,0.2017,-4.203903,1.0,25.0672,-340.822034,,,1.0,6.2535,1.0548,-0.065223,-0.995887,-0.993209,-0.146728,0.0,208047041.9,United States of America,63.0,FALSE,2834,25.0,11.5,
2020-05-21,SLQT,,,0.6831,-0.880458,0.619824,,0.1708,-1.407444,-20.8745,,0.8673,1.8305,0.0,,0.160448,0.148706,0.026001,3540374250,United States of America,1800.0,FALSE,6411,26.2,7.44,
