Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcffqoqgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,Itdebttocap,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price
2020-07-22,PSAC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4.5
2020-07-17,RNLX,0.4309,4.8646,0.03,,1,9.4578,,,,,,,0.424547,-0.9917,1.1383,,-0.287559,-21.405768,-23.699531,-0.49448,0,459372072,United Kingdom,14,FALSE,8071,13.9,13.52
2020-07-16,HPX,,,,,,,,,,,,,,,,,,,,,,,United States of America,1,FALSE,6770,9.99,9.86
2020-07-15,MLAC,,,,,-0.129017,0.0466,,,,,,,,,1.1359,,-10.136006,,,0.46422,0,299662895.5,Cayman Islands,2,FALSE,6770,9.79,10.03
2020-07-13,PTK,,,,,0.047205,,,,,,,,,,1.0975,,4.808367,,,-0.490342,0.003775,246349332,United States of America,3,FALSE,6770,9.91,
2020-07-10,NKTX,,,,-7.138196,1,36.1041,-3.559247,-0.025502,,,,,,,1.0858,,-0.314321,,,-0.284419,0,1700799991,United States of America,70,FALSE,2834,54.75,10.63
2020-07-02,CPSR,,,,,,,,,,,,,,,,,,,,,,,United States of America,2,FALSE,6770,9.75,5.59
2020-06-30,GSAH,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05,8.09
2020-06-26,FUSN,,,,,1,19.243,-3.582744,,,,,,,,1.0749,,-0.283306,,,-0.265975,0,191774876.8,Canada,40,FALSE,2836,18.5,7.87
2020-06-26,PYPD,,,,-1.656105,1,16.406,-5.018295,,,-0.824958,,,,,1.1984,,-1.187265,,,-0.506602,0,68036809.5,Israel,58,FALSE,3841,16,4.76
2020-06-19,PROG,6.5772,5.1565,0.5802,,-2.060192,1.7385,-0.586854,,,,,-18.4971,-0.25729,-0.8031,-1.3421,,19.291251,-2.626566,-2.590771,1.799428,0,387345233.2,United States of America,674,FALSE,8071,15.11,1.54
2020-06-16,RPRX,,,0.1491,0.024484,0.306686,8.7594,-0.345454,,0,1.033221,,1.9376,1,0.1708,1.7753,,-0.024159,0.751712,0.801918,0.353192,0,26705008971,United States of America,5,FALSE,2834,42.96969696,39.13
2020-06-12,PCVX,,,,,1,8.3012,-0.765535,,,0.166709,,-3912.6714,,,1.1469,,-0.1191,,,-0.25797,0,977575341.7,United States of America,43,FALSE,2836,20.8,17.91
2020-06-09,HEC,,,,,,,,,,,,,,,,,,,,,,,United States of America,,api_401,,10,1.39
2020-06-05,FOUR,9.9259,8.9539,0.5984,-0.203569,0.274175,10.3974,-0.484177,,,0.781467,,-2.5004,0.231842,1.0993,3.769,,0.19877,-0.075108,-0.14526,-0.242385,0.000537,6362572977,United States of America,,FALSE,7389,33.1,46.61
2020-06-05,LEGN,0.0493,1.4419,0.15,,0.007941,3.4028,-2.01879,,,-6.555482,,,0.939809,-0.4066,21462.1702,,1.547427,-11.165958,-4.010215,,0,7038532809,United States of America,645,FALSE,2834,37,38.12
2020-06-03,PLRX,,5.1212,0.2017,-4.203903,1,25.0672,-340.822034,,,,,,1,6.2535,1.0548,,-0.065223,-0.995887,-0.993209,-0.146728,0,208047041.9,United States of America,63,FALSE,2834,25,11.5
2020-05-21,SLQT,,,0.6831,-0.880458,0.619824,,0.1708,,0.235638,-1.407444,,-20.8745,,0.8673,1.8305,,0,,0.160448,0.148706,0.026001,3540374250,United States of America,1800,FALSE,6411,26.2,7.44
2020-05-14,JWS,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35,5.52
2020-05-08,AYLA,0.6089,6.4487,0.1126,,1,6.433,-0.685268,-0.161499,,,,,0,-1.2213,1.2466,,-0.315737,-8.030475,-8.129989,-0.785093,0,102753105,United States of America,,FALSE,2836,15.66,5.95
2020-05-05,GAN,,,,,,,,,,,,,,,,,,,,,,337442944.6,United States of America,136,FALSE,7370,10.6,6.86
2020-04-28,IPOB,,,,,,,,,,,,,,,,,,,,,,,,,,,10.75,8.99
2020-04-22,IPOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07,2.42
2020-03-12,IMRA,,,,,1,14.4717,-0.732384,,,,,,,,1.0952,,-0.207829,,,-0.489844,0,299312218.4,United States of America,20,FALSE,2834,14,1.5
2020-03-03,GFL,4.2311,5.0816,0.2863,-0.469898,0.694757,0.9632,-2.882675,,,,,-14.1156,0.045303,0.2337,1.3484,,0.202371,-0.189576,-0.474191,-0.13066,0,15304173418,Canada,,FALSE,4953,17.44386522,32.11
2020-02-20,ESSC,,,,,0.036697,,,,,,,,,,1.0208,,,,,0.165395,0,170626274,China,2,FALSE,6770,9.35,10.43
2020-02-13,GRIL,,32.3247,0.5337,-4.367393,0.798857,1.4449,0.554707,0.6521,,-1.050236,-0.324805,-57.9868,1,2.1765,2.7751,,-3.241888,-2.225901,-2.257567,-1.742689,0.121861,10528051.8,United States of America,,FALSE,5810,4.7,0.612
