Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-09-30,ASAN,3.3521,10.1221,0.3938,-1.745829,-0.034764,2.7268,-0.243829,0.0017761041666666643,,-8.515498,-10.7303,0.87339,2.5305,12.4659,2.04316,-0.773409,-0.932627,16.55407,0.0,2180769250,United States of America,0.0,FALSE,7372,27.0,50.57,
2020-09-25,AMST,,12.0203,0.0742,-7.532087,1.0,14.9157,-1.022223,0.303933,,-4.144785076923081,-2.1301,1.0,-18.7438,1.2339,-0.811035,-11.820706,-17.175564,-0.98732,0.0,85910730.4,United States of America,0.0,FALSE,7372,4.95,0.8728,
2020-09-24,PDAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,9.75,9.647885620915034,
2020-09-23,ACTC,,,,,2.1279646897546884,12.343429368575615,-10.31122929220779,-20.545705624390248,,-2.3686295382830624,-141.47812352941182,-0.12411437647058796,,,-0.4595940818965512,,,-0.5596296953352758,-0.20762135064935058,,United States of America,37.0,TRUE,2834,9.75,7.35,
2020-09-23,GDRX,3.2617,9.4251,0.5931,-0.871316,0.516094,18.2426,-2.652167,-0.4639329999999999,,-0.66769,-10.9408,0.946274,1.5712,5.1468,0.591536,-0.50067,-0.533181,-0.412763,0.0051,10776562640,United States of America,0.0,FALSE,7374,46.0,23.95,
2020-09-18,AHAC,,,,,0.9452103834586467,17.22027175572519,-1.3899328629032275,-0.34244668750000007,,-2.0125720000000005,-1327.4615978723398,0.8209063648648648,,,-0.176980169117647,,,-0.756268522388059,0.011697544776119402,,United States of America,0.0,FALSE,2836,9.7,5.32,
2020-09-18,BIVI,,,,-220.263316,1.0,4.6219,-10.095731,-7.169919,,-6.549758,-238.7538,-0.12411437647058796,,-0.4943,-14.983853,,,-25.790313,0.0,229214241.5,United States of America,0.0,FALSE,2834,10.5,3.66,
2020-09-17,STWO,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,Cayman Islands,0.0,TRUE,6770,9.9999,5.88,
2020-09-17,OACB,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,9.75,9.88,
2020-09-16,MTCR,,,,-12.197576,0.904998,25.341,-0.20055,-20.545705624390248,,-2.3686295382830624,-29.831,-0.12411437647058796,,1.2323,-0.174669,,,-0.417836,0.0,117443154,United States of America,0.0,FALSE,2834,14.39,0.4987,
2020-09-16,SNOW,34.3244,2.5009,0.1708,,1.0,5.4489,-0.445309,0.0017761041666666643,,-0.676183,-521.9703722689072,0.590257,-5.8407,1.3015,-0.057258,-0.918736,-0.91057,-0.109208,0.0,13098962179,United States of America,0.0,FALSE,7372,245.0,263.43,
2020-09-15,OM,12.7113,9.6195,0.2029,-2.980626,0.917177,9.4274,-0.791927,-0.16893100000000003,,-1.846606,-29.026,-0.261079,2.5185,1.3453,-0.240733,-2.352398,-2.433003,-0.369716,0.0,2147884081,United States of America,0.0,FALSE,3845,52.0,36.37,
2020-09-11,LEAP,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,11.51,9.84,
